Title: ECSA-0w4HjPzIF1JB1B9INPVumIZ6NqWasTUC Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    0w4HjPzIF1JB1B9INPVumIZ6NqWasTUC.18Z


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
310              1.20    1.20         11.60     8.20    22.60   3.40       2.40       1.80  11.40  1.80         9.60            2.00           1.80        4.40       1.40           1.40        1.40     1.40         3.40
315              1.40    1.60         12.40     8.20    21.40   3.00       3.20       4.60  10.20  3.80         8.60            3.20           2.20        3.40       0.80           4.60        1.40     2.00         3.00
320              1.00    1.00         10.80    10.80    23.40   1.20       2.60       3.40   9.20  3.40        13.40            2.80           4.80        3.20       1.20           3.00        1.40     0.80         5.20
325              1.80    1.40         10.00    11.80    22.40   2.60       3.00       2.40   9.80  2.60        14.20            2.40           2.60        6.00       2.00           2.80        0.80     1.20         5.40
330              1.40    1.80         13.40     9.60    24.60   3.40       1.00       4.40  11.40  3.20        10.20            1.20           3.00        5.20       1.80           3.20        1.40     1.60         4.60
335              1.40    1.80         10.00     8.20    22.00   1.40       3.00       2.60   7.40  4.40        10.80            3.00           4.80        3.80       1.20           4.20        2.60     2.20         5.00
340              1.60    0.80          9.00    10.60    22.40   1.60       2.60       3.20   9.40  2.80        13.00            2.60           2.40        5.20       1.40           2.60        0.60     0.80         4.00
345              1.20    1.60         12.00    10.60    22.00   4.00       2.80       1.20  10.40  2.20        12.20            3.20           2.60        4.60       1.40           2.20        1.60     1.20         5.00
350              1.40    1.60         11.60     8.00    22.00   3.40       3.20       2.60   9.40  2.20         9.00            3.40           1.60        4.00       1.20           2.20        1.80     1.80         2.80
355              2.00    1.00         13.00    12.00    23.40   2.40       4.20       2.60  11.80  2.40        11.00            4.20           2.40        3.20       0.80           2.80        1.20     1.20         3.00
360              1.20    1.00         11.80     9.40    21.40   3.00       3.00       3.00  11.20  2.80        11.00            2.60           2.40        3.20       1.20           3.00        1.00     1.40         3.80
365              1.00    0.80         11.80     7.40    23.00   2.80       2.40       4.20  10.60  3.00        10.40            2.60           3.80        3.40       0.80           3.40        0.80     0.60         3.40
370              0.80    1.20         10.80     9.40    23.20   2.60       3.20       2.60   9.00  4.00        11.60            3.00           3.60        4.40       1.20           3.20        1.00     1.00         5.00
375              1.40    1.00         11.20     9.60    21.60   2.80       1.80       3.00  11.20  2.80        10.40            2.00           3.00        5.00       1.20           3.00        1.20     1.00         4.40
380              1.20    1.00         13.40     7.80    25.40   4.00       3.60       3.20  12.00  3.00        11.20            4.40           2.60        3.80       0.80           2.80        0.80     1.20         3.80
385              0.80    0.80         13.40     9.20    24.00   3.40       3.20       2.60  11.80  2.80        12.20            2.20           3.20        3.60       1.00           2.80        1.00     0.80         4.00
390              1.00    1.40          9.80    10.40    21.80   2.60       2.60       2.80   9.60  2.60        10.80            3.00           3.00        4.40       1.80           2.80        0.80     1.00         4.20
395              1.40    1.40         13.00     9.60    21.40   3.00       2.60       3.20  10.60  2.60        11.00            2.60           2.60        3.80       1.40           3.20        1.40     1.40         4.20
400              0.80    1.20          9.60     9.40    22.20   2.20       2.60       3.40   8.40  4.40        11.40            1.80           4.40        4.40       1.20           3.40        1.80     1.40         5.00
405              1.60    1.60         12.00     8.80    23.60   3.80       2.40       2.60  11.00  2.20        11.20            3.60           2.00        4.60       1.00           2.40        1.00     1.00         5.20
410              0.80    1.40         11.00    10.40    23.20   2.80       3.00       2.00   9.20  2.40        11.80            2.60           2.60        5.20       2.40           2.40        1.80     1.80         4.00
415              1.80    1.20         12.00    10.20    24.20   2.60       4.20       3.00  10.80  2.40        11.80            4.20           2.60        4.20       1.20           2.60        1.20     1.60         4.00
420              1.00    1.60         10.80     9.80    22.20   3.00       2.80       1.60   9.40  2.60        11.60            2.20           2.40        4.20       1.40           2.40        1.60     1.40         3.60
425              2.00    2.00         11.80    11.40    23.60   2.60       3.20       3.20  11.80  2.60        11.40            3.80           2.40        4.20       0.60           3.00        1.60     2.00         3.60
430              1.40    0.80         13.80     9.20    21.00   2.80       2.40       3.40  11.00  2.60        10.00            2.60           2.40        2.60       0.80           2.80        1.20     0.60         3.00
435              0.80    0.80          9.80     6.60    21.60   2.20       2.60       4.20   9.20  4.20         8.20            1.80           4.00        3.40       1.20           3.80        0.80     0.80         3.80
440              1.20    0.40          9.20     9.20    19.60   2.40       2.20       2.60   7.80  4.00        12.60            2.60           3.60        4.00       1.00           3.40        1.00     1.00         6.00
445              1.20    1.00         12.00    10.80    23.00   2.40       1.80       2.80  11.60  2.00        11.80            2.00           2.80        5.20       2.20           2.00        0.60     0.60         4.80
450              0.80    2.20         10.00     7.40    22.40   2.20       2.00       4.20   8.60  3.00         9.80            1.80           2.80        4.40       1.60           4.00        1.20     1.60         4.20
455              1.80    2.60         10.60     8.60    24.20   1.40       3.00       3.00   7.80  4.00        10.80            2.80           4.80        5.40       0.60           3.80        2.40     2.60         3.20
460              1.40    0.20          9.80    11.80    19.20   2.80       2.00       1.40   9.40  2.00        13.00            2.40           2.00        3.20       1.20           1.60        1.60     1.00         5.60
465              1.40    0.60         12.80     8.60    22.00   3.00       3.20       3.40  12.40  2.40         9.80            3.00           2.00        4.80       1.60           3.00        0.20     0.40         3.40
470              1.00    1.40         11.00     9.00    24.60   2.80       2.80       4.00   9.00  4.60        11.60            3.00           4.00        3.20       1.00           4.00        1.20     1.20         4.20
475              1.00    1.40         10.20     8.40    18.80   3.00       2.60       1.80   9.60  2.40        10.00            2.60           2.40        4.40       0.60           2.20        1.60     1.80         4.60
480              1.20    0.80         13.00    10.00    24.20   2.80       2.20       4.00  11.80  3.80        12.20            1.80           3.40        5.20       2.00           3.80        0.80     0.80         4.40
485              1.20    2.20         12.40    10.00    25.80   2.60       2.80       3.80  10.80  3.40        12.20            2.60           3.60        5.00       1.20           4.00        1.00     1.20         5.20
490              0.80    1.00         12.20     8.00    22.60   3.20       2.20       2.60   9.80  2.20         9.20            2.20           3.20        3.60       1.40           2.40        1.80     1.40         3.20
495              2.00    1.40          9.20     9.80    20.80   1.60       2.00       4.00   8.20  4.00        11.60            2.40           3.40        5.00       2.00           3.60        1.80     1.60         5.40
500              1.20    1.60          9.80    11.20    22.80   1.80       1.60       2.40  10.00  3.00        13.80            1.80           3.20        4.40       1.00           2.80        0.80     1.60         5.80
505              1.20    1.20         11.40     8.60    22.80   2.40       3.00       3.20   8.20  3.20        10.80            3.40           3.20        5.20       2.40           3.40        1.80     1.40         3.80
510              1.60    1.80          9.20    11.20    20.60   2.40       3.20       1.80   8.00  1.80        11.40            2.40           2.00        5.20       0.80           2.00        1.60     1.40         4.00
515              1.20    1.60         12.20     9.80    21.20   3.40       3.40       1.60  11.20  2.00        11.00            3.80           2.00        3.00       1.00           1.40        1.60     1.80         3.80
520              2.20    1.40         12.80     9.60    24.80   3.40       3.60       3.00  11.00  2.60         9.80            3.00           2.60        3.60       0.80           2.80        1.20     1.00         2.60
525              0.80    0.40         15.20     9.20    23.00   3.40       2.80       3.40  12.80  3.60        11.40            3.00           3.20        2.80       0.80           3.60        1.60     1.40         3.40
530              1.40    0.40          8.00     9.40    21.00   2.00       3.60       2.40   9.00  2.80        11.80            3.60           3.60        2.80       1.40           2.40        0.40     0.40         4.60
535              1.00    1.60         11.60     8.40    22.60   2.00       2.00       4.40  11.00  3.40         9.80            1.60           2.80        4.60       0.60           3.80        0.80     1.00         4.60
540              0.60    0.80         13.00     8.80    22.00   3.40       0.80       3.60  11.00  3.00         9.80            1.20           3.20        5.40       2.00           3.40        1.20     1.20         4.40
545              1.40    1.80          7.60     7.60    24.00   1.20       3.20       4.20   6.60  5.20        12.20            3.20           4.80        4.20       1.00           4.60        0.80     1.20         5.40
550              1.20    2.00         11.80    11.60    21.80   3.20       1.80       1.40   9.20  1.80        14.40            1.80           2.20        6.80       2.40           2.00        2.20     1.80         6.00
555              1.60    1.40         11.80    11.60    23.40   2.80       3.40       2.00  11.20  2.00        11.60            4.00           2.00        4.80       0.80           1.80        1.80     2.00         3.60
560              2.00    1.20         11.60     9.00    21.00   3.20       3.40       3.00  11.20  2.60         9.20            2.80           2.40        3.40       0.80           2.80        1.40     1.40         2.40
565              1.60    1.20         13.80     9.20    26.40   2.80       2.80       4.80  11.20  4.00        11.40            3.20           4.20        2.60       1.20           4.20        0.40     0.20         3.60
