Title: ECSA-NtlokyJyrpfHz7uKUC4fjKzXX6QOMh9P Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    NtlokyJyrpfHz7uKUC4fjKzXX6QOMh9P.20W


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
730              0.60    0.60         12.40     8.40    22.00   3.60       1.60       2.60  10.60  3.40        10.20            2.00           2.60        3.80       0.80           3.80        1.60     1.40         4.00
735              1.40    0.80         12.60     8.20    23.00   2.20       4.00       2.60   9.80  2.60        10.00            4.20           2.80        4.20       1.40           2.60        0.60     0.80         4.60
740              1.40    1.40         10.00    10.40    22.00   2.20       2.40       3.20  11.00  3.20        11.60            2.20           3.00        5.00       1.40           3.20        0.80     1.00         3.80
745              1.00    0.80         12.20     8.00    23.80   2.80       2.00       3.80  11.00  3.40        10.20            2.00           3.80        3.40       0.20           3.40        1.00     1.20         4.20
750              1.00    0.80         13.80     7.20    22.80   1.80       2.00       3.60  11.00  3.80        10.40            1.80           4.20        4.00       0.80           4.00        1.40     0.80         3.20
755              0.60    1.20          9.80    10.60    23.80   3.80       1.80       3.60  11.60  3.20        13.20            2.20           3.00        5.60       1.40           3.20        0.20     0.80         6.60
760              1.20    1.20         12.00     7.40    22.80   2.80       2.00       3.60   9.00  3.80        10.00            2.40           3.20        4.60       1.60           3.60        1.80     1.20         5.00
765              1.00    1.40         12.20    10.80    22.00   1.80       2.60       3.00  12.00  3.20        11.00            2.00           3.40        4.80       1.60           3.40        1.60     1.80         4.80
770              1.20    1.00          8.20     9.00    23.20   2.20       2.20       3.00   7.20  3.40        12.80            2.20           4.20        4.80       2.40           3.00        0.40     0.60         4.60
775              1.60    2.80         10.80     9.80    20.60   2.20       2.00       2.20   8.00  2.40        10.60            2.20           1.60        5.60       0.80           2.40        2.20     2.20         4.20
780              1.80    1.00         11.20    11.80    22.00   2.00       2.60       3.20   9.40  2.80        12.40            2.60           3.40        3.60       1.80           3.00        2.00     1.60         4.60
785              2.00    1.20         10.20     9.80    22.60   2.40       3.00       3.60   8.40  2.80        12.40            4.00           2.80        3.80       1.20           3.00        1.00     1.00         4.60
790              0.80    1.60         12.00     8.80    22.80   3.00       3.20       2.40  11.80  3.00        10.40            2.20           3.00        4.80       1.20           2.60        1.20     1.20         3.80
795              1.40    0.80         12.80     9.40    22.80   2.40       1.40       4.00  11.00  3.00        11.00            1.60           2.60        3.40       1.20           3.60        1.40     1.60         4.60
800              1.00    1.80         10.00     8.20    22.20   1.80       2.40       3.00   9.00  4.40        11.20            1.80           4.60        5.00       0.80           3.80        1.60     1.80         3.80
805              1.80    1.00         11.80    11.80    25.80   2.80       2.60       4.00   9.80  3.40        13.20            2.40           2.80        4.80       1.20           3.60        1.60     1.20         5.40
810              1.20    1.00         10.00     9.60    20.40   3.40       1.80       2.00  10.80  2.60        11.80            2.80           3.60        4.80       2.40           2.40        0.20     0.60         5.00
815              1.20    2.40         12.40     8.60    25.40   2.60       2.80       3.20   9.80  3.40        11.00            2.80           3.20        6.00       1.00           3.40        1.60     1.80         4.60
820              1.20    1.00         10.20     9.60    19.80   3.40       2.80       2.80   9.60  2.20        11.00            2.00           1.80        3.00       1.20           2.20        2.20     1.80         3.80
