"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"92","410","1.80","1.60","12.80","10.80","21.80","2.40","2.20","3.00","9.60","2.60","11.40","2.20","2.60","5.40","1.80","2.80","2.00","1.40","5.20",""
"93","415","1.80","2.40","8.40","9.40","20.60","2.40","2.60","2.20","7.20","2.40","11.00","3.20","2.80","3.60","1.80","2.40","2.00","2.20","4.40",""
"94","420","2.20","1.00","9.60","11.40","20.60","1.40","3.60","2.40","8.00","2.40","12.00","4.20","2.00","3.60","1.20","2.40","2.00","1.80","3.20",""
"95","425","1.00","1.40","11.60","11.00","24.00","3.20","3.00","2.80","11.20","2.80","13.40","2.40","2.60","5.20","1.40","2.80","0.60","0.80","4.80",""
"96","430","1.80","1.40","12.40","9.40","22.60","2.20","3.40","2.40","9.60","2.40","9.40","3.20","3.00","3.60","1.40","2.20","1.60","1.80","3.80",""
"97","435","1.00","1.20","11.80","9.00","21.20","3.40","2.80","3.20","12.00","4.00","10.20","2.60","3.60","4.20","0.60","3.60","1.20","0.80","3.00",""
"98","440","1.40","1.00","10.20","8.60","19.80","2.40","3.00","1.80","8.80","1.40","10.00","3.00","1.80","2.80","1.00","1.80","1.00","1.20","4.00",""
"99","445","1.00","1.00","11.80","8.00","18.40","3.20","2.60","3.00","10.40","2.20","9.60","2.40","2.20","3.60","1.00","2.60","1.00","0.80","3.00",""
"100","450","0.60","0.80","8.20","5.20","16.00","1.60","1.80","2.60","7.20","3.00","6.00","2.40","2.40","2.00","0.00","2.60","1.00","1.00","2.80",""
"101","455","1.40","0.20","10.20","8.60","18.20","2.00","2.20","2.20","9.20","2.60","9.80","1.60","3.20","3.20","1.00","2.40","0.80","0.80","2.80",""
"102","460","0.20","0.60","7.00","5.00","15.00","2.40","1.80","2.00","7.20","2.00","7.80","1.60","1.60","2.80","0.60","2.40","0.00","0.20","3.00",""
"103","465","0.80","1.00","9.00","7.40","22.60","3.20","2.40","2.80","9.00","2.40","9.20","3.20","2.40","4.40","1.60","2.40","0.80","0.60","4.00",""
"104","470","0.40","1.00","12.20","9.60","19.00","1.80","2.00","3.00","9.40","3.80","10.80","1.60","3.80","3.60","1.40","3.40","1.20","1.40","4.60",""
"105","475","0.80","1.60","5.20","5.20","15.40","1.60","1.20","2.20","5.20","1.80","7.60","1.20","2.00","2.80","0.40","2.00","0.80","1.20","3.20",""
"106","480","1.60","0.80","9.80","7.40","20.20","2.40","2.20","2.60","8.40","2.80","9.00","2.60","1.80","5.00","1.40","2.40","1.80","1.40","3.80",""
"107","485","1.40","0.60","10.80","10.00","16.80","2.40","3.20","2.00","8.80","1.60","10.80","2.80","2.40","2.60","1.40","2.40","0.80","0.60","3.60",""
"108","490","0.60","1.40","7.20","5.40","15.60","1.80","2.80","1.20","7.40","2.00","7.20","3.00","2.20","3.80","1.00","1.20","0.40","0.60","2.60",""
"109","495","0.40","1.20","9.00","7.80","17.80","1.80","1.40","2.80","7.60","2.40","8.80","1.00","2.00","3.00","1.00","2.80","1.40","1.60","3.20",""
"110","500","0.80","0.80","10.00","9.20","22.60","2.60","2.00","2.80","9.00","1.80","9.20","2.40","2.20","3.80","1.20","2.20","1.20","1.00","3.20",""
"111","505","1.60","1.60","10.20","7.20","20.00","2.40","2.80","3.20","8.40","4.00","9.60","3.00","3.80","2.80","1.00","3.40","1.00","1.60","3.00",""
"112","510","1.60","1.00","11.80","10.40","22.40","2.60","3.00","2.80","11.40","2.00","11.80","2.60","2.00","4.60","0.80","2.80","1.40","0.80","5.00",""
"113","515","1.60","1.00","11.40","9.00","22.00","3.00","2.00","3.00","10.40","3.20","9.80","2.80","3.40","3.20","0.60","3.20","1.20","1.40","3.00",""
"114","520","0.60","0.80","10.80","8.20","20.60","3.60","3.40","2.40","9.20","2.80","11.40","2.40","2.20","3.80","0.80","2.40","1.00","0.60","4.40",""
"115","525","1.40","1.40","10.00","8.00","20.40","2.40","2.40","2.60","10.20","2.00","9.20","2.60","2.80","4.40","1.80","1.80","0.40","0.40","4.00",""
"116","530","0.40","0.80","11.80","8.20","20.20","2.40","1.80","3.40","10.40","4.00","10.60","2.00","3.20","3.60","1.20","3.80","1.40","1.40","4.40",""
"117","535","1.20","0.80","8.60","8.40","21.20","1.60","1.40","3.40","7.80","2.80","9.20","1.00","2.60","4.40","1.00","3.40","1.40","1.40","3.80",""
"118","540","1.20","1.80","10.00","8.20","21.20","2.60","2.00","2.80","8.40","3.60","10.20","2.00","4.40","3.80","1.60","3.60","1.20","1.40","3.80",""
"119","545","1.40","0.80","9.60","9.80","20.80","1.60","3.20","2.40","8.40","2.20","11.80","3.20","2.00","4.80","1.20","2.40","1.00","1.00","5.60",""
"120","550","1.40","1.60","10.80","10.20","20.60","3.20","2.00","2.80","9.00","2.20","11.80","2.20","2.40","5.20","2.20","1.40","1.00","0.80","4.40",""
"121","555","1.00","2.20","11.00","8.20","20.40","2.80","1.80","2.60","9.40","3.20","10.40","1.80","3.20","3.40","1.00","3.60","2.00","2.40","4.00",""
"122","560","1.00","1.20","10.20","10.00","22.20","2.20","2.40","2.60","8.40","2.40","10.40","2.40","1.80","3.80","1.20","2.20","2.00","1.80","3.60",""
"123","565","2.40","1.40","11.20","9.40","22.20","2.20","3.40","3.60","10.20","2.80","10.00","3.80","3.60","4.40","1.20","3.40","0.60","0.60","3.80",""
"124","570","1.20","1.40","10.00","9.40","21.00","2.40","2.80","2.40","8.60","3.60","11.20","2.20","3.20","3.80","0.80","3.00","1.60","1.80","4.20",""
"125","575","1.80","0.60","10.60","12.00","21.00","1.60","1.40","3.20","9.20","2.80","13.00","2.20","2.60","4.60","2.60","3.00","1.40","1.40","6.00",""
"126","580","1.00","2.20","9.20","7.20","23.20","2.60","3.00","2.60","8.60","3.00","11.00","2.40","3.20","5.40","1.00","3.20","1.40","1.20","3.40",""
"127","585","1.00","1.00","12.80","10.60","21.00","2.00","2.40","2.40","9.80","2.60","9.80","2.00","2.80","3.20","2.00","2.40","1.80","1.60","4.80",""
"128","590","2.00","2.20","8.00","9.20","21.60","2.00","2.80","4.00","7.60","3.60","10.80","3.60","3.20","5.20","0.80","3.80","0.80","1.80","4.40",""
"129","595","1.00","0.80","12.00","10.60","21.80","2.00","2.40","1.80","10.80","1.80","12.20","1.60","2.40","3.40","0.60","1.40","2.20","1.20","3.40",""
"130","600","2.60","0.80","13.60","7.40","19.80","4.60","3.40","2.60","11.20","2.60","8.20","3.60","1.60","3.60","1.20","2.60","1.00","1.00","2.80",""
"131","605","0.20","0.40","8.60","8.40","21.20","1.40","2.40","3.40","9.60","3.00","11.40","2.40","3.60","3.80","0.60","3.40","0.20","0.20","3.20",""
"132","610","0.80","1.40","10.80","6.40","19.00","3.60","1.60","2.40","8.60","2.80","7.60","1.60","2.80","2.80","1.20","2.80","1.40","1.60","4.40",""
"133","615","1.00","0.80","10.00","8.60","18.60","1.40","3.00","2.40","9.40","2.20","11.20","3.20","2.60","4.20","1.20","2.20","0.40","0.40","4.00",""
"134","620","0.80","1.00","7.80","7.20","16.80","1.80","2.00","2.80","7.00","3.20","8.60","1.60","2.60","3.60","2.00","3.20","0.80","0.60","3.60",""
"135","625","0.60","1.20","7.80","8.80","16.20","1.00","1.40","1.80","6.60","2.00","10.20","1.80","2.40","3.00","0.40","1.60","0.80","1.40","4.00",""
"136","630","0.20","0.80","6.40","3.00","9.80","1.80","0.80","1.20","5.40","1.20","4.20","0.40","1.20","2.60","0.20","1.20","1.20","0.60","0.80",""
"137","635","1.00","1.00","7.20","5.80","18.60","1.60","1.00","2.40","5.80","2.20","6.40","2.20","2.20","2.80","1.60","2.20","1.20","1.40","4.00",""
"138","640","1.40","1.60","8.00","10.40","19.80","2.00","3.80","3.00","7.40","2.40","11.80","2.60","2.00","5.20","1.20","3.00","1.20","1.20","3.20",""
"139","645","1.80","1.00","11.20","9.00","22.00","2.80","3.40","1.80","10.40","2.20","10.40","4.20","2.60","3.00","0.40","2.00","1.60","1.40","3.00",""
"140","650","1.40","0.40","14.40","8.00","20.20","3.80","2.80","3.20","12.40","3.40","8.60","2.40","3.20","2.80","0.60","3.20","0.80","0.80","3.60",""
"141","655","0.80","0.80","11.00","8.40","25.60","2.40","2.80","4.40","11.80","2.80","12.80","2.60","3.20","3.40","0.40","3.00","0.80","0.80","3.40",""
"142","660","0.60","0.80","11.20","9.20","21.40","3.00","1.80","2.80","9.40","4.40","9.80","2.20","3.20","4.60","1.60","4.40","0.60","0.80","5.40",""
"143","665","1.00","1.40","10.80","8.80","23.00","2.40","2.80","2.60","9.40","2.60","11.00","2.40","4.00","4.20","1.20","2.00","0.60","1.00","4.20",""
"144","670","1.00","1.20","10.80","8.20","21.60","2.80","3.00","2.80","10.40","3.00","10.60","3.60","2.00","4.60","1.00","3.20","1.40","1.00","4.20",""
"145","675","1.40","0.80","11.40","8.80","22.40","3.60","3.60","1.80","11.40","1.80","11.60","3.00","2.80","3.80","1.40","1.60","1.00","0.80","4.20",""
"146","680","0.60","1.00","13.20","9.00","21.80","2.60","1.80","4.60","11.20","4.40","9.20","1.80","3.00","4.20","1.40","4.40","1.00","1.20","3.20",""
"147","685","0.60","1.60","12.00","8.20","23.00","2.40","1.60","4.40","9.40","3.60","11.60","2.00","4.20","3.80","0.80","4.60","1.40","1.60","5.20",""
"148","690","2.00","1.20","9.60","10.20","22.40","2.80","1.80","1.80","9.20","2.40","12.20","2.00","2.80","4.80","2.20","2.00","1.60","1.20","5.40",""
"149","695","1.20","1.40","9.40","9.60","19.00","1.60","3.20","2.20","8.20","2.20","10.40","2.80","2.00","4.60","0.80","1.80","0.60","1.20","4.20",""
"150","700","0.80","1.00","11.20","8.60","20.20","2.20","2.80","2.20","9.60","2.80","10.60","2.40","3.20","4.40","1.40","2.60","1.80","1.20","2.80",""
"151","705","1.80","2.20","10.40","8.40","21.60","3.20","1.80","3.60","9.80","2.40","9.00","2.40","1.60","3.20","0.40","2.80","1.40","1.80","3.40",""
"152","710","0.80","0.20","11.60","8.20","21.80","2.40","2.00","3.80","9.20","2.80","10.20","2.40","3.40","3.80","1.60","3.60","1.60","1.20","4.00",""
"153","715","1.80","1.00","9.20","10.40","21.60","2.40","2.80","2.80","8.20","4.00","12.00","2.40","3.60","4.00","1.20","2.80","0.00","0.40","5.40",""
"154","720","0.60","1.80","11.60","8.40","22.40","2.80","2.60","1.80","11.40","2.60","11.40","2.40","2.80","5.00","1.80","2.60","2.20","2.20","4.80",""
"155","725","1.40","1.60","11.40","10.40","22.20","1.60","2.60","4.20","9.80","3.60","11.40","2.40","2.00","5.20","1.20","4.40","1.20","1.00","3.40",""
"156","730","1.80","1.20","10.00","10.00","22.00","2.60","1.20","3.20","8.20","3.20","10.60","1.80","4.80","3.00","1.40","2.40","1.40","1.80","5.60",""
"157","735","1.40","2.00","9.40","9.60","23.00","2.60","3.20","2.60","8.60","3.60","13.00","3.20","3.00","6.40","2.40","3.40","1.20","1.00","4.80",""
"158","740","1.60","1.20","12.20","10.80","22.60","2.00","2.20","2.80","9.60","1.20","11.20","2.00","2.20","3.60","0.80","2.20","2.00","2.00","3.80",""
"159","745","1.40","1.60","12.80","9.40","23.80","2.80","3.00","3.40","11.20","4.40","10.40","2.60","3.60","5.00","1.20","4.20","1.40","1.20","4.00",""
"160","750","1.60","1.20","11.80","9.40","21.40","2.80","2.60","2.20","9.80","2.00","10.00","3.00","2.80","3.40","1.00","1.80","1.40","1.40","3.60",""
"161","755","1.20","1.00","10.00","10.40","23.20","2.00","3.20","3.40","9.00","3.40","13.00","3.00","2.80","4.40","1.20","3.40","0.80","0.80","4.00",""
"162","760","1.20","0.80","12.00","9.20","21.80","3.40","2.80","2.80","12.00","2.60","10.80","2.80","2.60","3.60","1.20","2.80","1.20","1.20","4.20",""
"163","765","1.00","1.60","10.00","8.20","24.20","2.40","3.00","3.60","9.00","3.20","11.40","2.80","3.60","4.80","1.40","3.20","0.80","0.80","5.00",""
"164","770","1.00","1.40","12.00","9.00","22.00","2.40","1.20","3.20","11.20","3.20","10.80","1.20","3.40","5.00","1.40","3.00","2.20","2.20","4.60",""
"165","775","1.40","0.80","11.00","8.60","20.60","2.40","2.00","2.40","9.20","3.00","10.80","2.40","2.40","3.40","0.80","3.20","1.00","0.80","4.20",""
"166","780","1.00","1.60","8.60","9.00","20.40","2.60","3.00","3.40","8.00","3.40","10.80","2.80","4.00","4.20","1.60","3.40","0.60","0.80","3.80",""
"167","785","1.00","0.40","12.20","10.80","22.60","2.60","2.40","2.80","9.80","2.60","11.80","2.20","2.60","4.20","1.60","2.60","1.60","1.60","5.00",""
"168","790","2.00","1.60","11.20","9.20","22.40","2.40","2.40","3.00","12.00","2.60","11.00","2.60","2.20","5.20","2.00","2.20","1.20","1.40","5.20",""
"169","795","0.80","3.00","12.00","9.20","24.00","3.00","1.80","3.60","9.40","3.60","10.80","2.20","4.00","5.20","0.60","3.80","1.80","1.80","3.80",""
"170","800","2.00","0.60","10.20","10.20","21.60","2.60","4.00","2.20","8.40","3.20","11.40","4.00","2.60","3.60","1.20","2.80","1.60","1.40","4.00",""
"171","805","1.40","0.60","11.60","10.40","21.60","3.60","2.80","1.80","9.60","1.80","12.60","3.20","2.60","4.00","2.40","1.80","1.00","0.80","4.60",""
"172","810","1.00","2.00","11.20","9.00","24.40","2.40","3.00","4.00","11.80","2.80","10.80","2.00","2.40","5.00","1.20","3.40","1.20","1.80","4.20",""
"173","815","1.00","2.00","12.20","8.20","21.20","2.80","1.80","2.60","9.20","3.60","9.00","2.40","2.80","3.60","1.00","3.20","1.40","1.20","3.80",""
