Title: ECSA-AnXlR8fLjpDf2bwHGWAyaMSMCPPPZPqh Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    AnXlR8fLjpDf2bwHGWAyaMSMCPPPZPqh.14N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue  home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
370              0.60    1.40          6.40     5.20    11.40   1.20       1.00       1.60  4.00  1.40         4.80            1.20           1.20        3.20       1.00           1.60        1.80     1.40         2.00
375              1.40    1.40          5.60     5.80    12.20   0.80       1.60       1.20  4.80  1.00         7.40            1.40           1.40        2.60       0.40           0.60        0.60     0.80         2.00
380              0.80    0.40          6.80     5.00    13.00   1.20       2.20       2.20  6.20  2.60         5.40            2.20           1.80        1.60       0.60           3.00        1.20     0.80         1.60
385              1.20    0.40          5.00     6.20    11.40   2.00       2.00       1.20  4.00  1.20         7.00            2.00           1.80        1.80       0.40           1.00        0.40     0.80         2.60
390              0.20    0.60          6.60     4.40    12.00   1.20       1.60       0.80  6.60  1.00         4.80            1.40           1.20        2.40       0.80           1.00        0.40     0.00         2.20
395              0.60    0.40          7.20     4.60    10.80   2.00       0.60       2.40  7.00  1.40         5.00            0.80           1.00        1.80       0.20           1.80        0.80     0.80         1.40
400              0.40    0.40          6.00     2.80    11.20   1.40       1.20       1.20  5.80  2.00         5.00            1.00           2.20        1.00       0.20           1.60        0.40     0.60         2.40
405              0.60    0.20          5.80     5.00    13.00   0.40       1.20       2.80  4.60  2.60         6.80            1.40           2.20        2.80       1.00           2.40        0.40     0.20         2.20
410              0.60    0.80          4.40     5.60    11.20   0.80       0.60       2.20  3.60  2.20         6.40            0.60           2.40        2.60       1.20           2.40        0.60     0.60         3.60
415              0.60    1.00          4.00     4.60    10.40   1.00       0.80       1.20  4.20  0.80         7.00            0.60           1.00        2.80       0.40           1.40        0.40     1.00         2.60
420              0.40    0.80          6.20     4.40    10.60   1.40       1.00       1.20  4.60  1.80         5.00            1.20           1.60        3.00       0.80           1.00        1.60     1.00         2.40
425              0.60    1.00          5.80     5.00    12.20   1.00       1.00       1.60  4.80  1.80         4.80            1.40           1.60        2.40       1.00           1.80        0.40     0.80         1.80
430              1.40    0.40          4.60     5.80    11.40   1.40       2.20       1.00  5.40  0.80         7.00            1.60           1.40        2.20       0.40           1.20        0.80     0.40         1.80
435              0.60    0.40          6.80     4.40     9.60   1.60       1.20       1.40  5.40  1.20         4.60            1.60           1.20        2.00       0.40           1.40        0.40     0.40         2.00
440              0.20    0.80          5.00     4.20    12.20   1.60       1.40       1.60  5.00  1.80         5.40            1.20           1.40        1.80       1.00           1.40        0.40     0.40         2.20
445              0.60    0.60          7.80     4.80    12.20   2.00       1.40       1.60  6.00  1.40         5.40            1.40           1.60        1.80       0.20           1.20        1.00     1.00         1.60
450              1.20    0.60          4.40     4.00     9.60   1.00       1.60       1.20  3.80  1.40         4.80            2.80           1.00        1.80       0.60           1.80        0.60     0.60         2.00
455              0.40    0.20          5.80     6.20    12.40   1.00       2.00       1.40  6.20  1.40         6.80            0.80           1.80        2.40       0.40           1.40        0.00     0.20         2.40
460              0.20    1.00          6.00     4.80    11.60   1.40       1.00       2.00  4.60  1.60         6.20            0.80           1.80        2.00       1.20           1.60        0.80     0.60         2.40
465              0.80    0.80          5.60     4.80    11.00   1.00       1.40       1.40  5.00  1.60         5.20            1.80           1.40        2.00       0.40           1.40        0.80     1.00         2.20
470              0.60    0.60          5.20     4.40    10.40   2.00       1.40       1.40  4.40  1.40         5.20            1.20           1.60        2.00       0.60           1.60        0.80     0.60         1.80
475              0.80    0.60          6.40     5.00    13.60   1.60       1.40       1.20  6.80  1.20         6.60            1.60           1.20        2.80       0.60           1.00        0.60     0.80         2.40
480              0.60    0.40          7.40     4.00    10.40   2.40       1.80       1.60  5.60  1.80         4.40            1.60           1.20        1.60       0.60           1.80        0.80     0.60         1.40
485              0.80    0.00          5.40     5.00    12.40   1.00       2.00       1.20  5.60  0.80         5.60            2.20           1.40        1.40       0.20           1.00        0.00     0.00         2.00
490              0.20    1.00          6.80     4.80    11.00   2.40       1.20       1.40  6.00  1.40         5.80            0.80           1.40        2.20       1.20           1.40        0.80     0.80         2.20
495              0.40    0.80          4.40     4.80    11.00   0.60       1.00       2.20  4.20  2.80         5.40            1.20           1.80        2.20       1.00           2.40        0.40     0.60         2.60
500              0.60    1.40          5.00     4.20    13.60   1.00       1.40       1.20  4.40  1.20         6.80            1.20           2.00        3.20       0.20           1.40        1.00     1.20         2.60
505              0.40    0.20          6.40     5.80    10.00   1.60       0.80       1.00  5.20  1.00         5.00            1.20           0.80        1.80       0.80           1.00        0.80     0.60         1.80
510              1.80    1.00          4.20     5.20    11.40   0.60       2.20       2.00  4.20  1.80         6.20            1.80           1.80        2.00       0.40           1.60        0.60     1.00         2.20
515              0.20    0.40          7.20     4.80    12.40   2.00       0.40       1.80  6.20  1.80         7.00            0.40           2.00        2.80       0.80           1.80        1.00     0.60         3.00
520              0.60    0.40          6.40     5.20    11.80   1.40       1.00       0.60  5.20  0.80         4.20            1.00           1.00        2.40       1.40           0.80        0.60     0.40         2.00
525              1.00    1.20          4.00     3.80     9.40   1.20       1.40       2.60  4.00  1.40         5.20            1.80           1.00        2.40       0.40           2.40        0.40     0.80         2.00
530              0.60    0.80          7.40     5.40    12.00   0.80       1.00       1.20  4.40  2.20         6.00            0.80           2.40        1.60       0.60           1.20        1.40     1.00         1.80
535              1.40    0.60          4.40     6.00    12.00   1.00       2.40       1.60  4.60  1.60         6.40            2.40           1.60        2.20       0.80           1.80        0.60     0.60         2.80
540              0.40    0.80          4.80     5.20    10.20   1.20       1.00       1.20  5.60  1.00         6.00            0.80           1.20        2.60       0.60           1.20        0.40     0.40         2.00
545              1.00    0.40          6.80     4.00    11.80   0.80       1.00       2.60  4.20  2.40         4.40            1.20           2.00        1.40       1.20           2.20        1.00     1.00         2.00
550              0.40    0.80          4.80     4.80    11.40   1.20       1.20       1.00  4.60  1.80         7.20            1.00           2.00        2.80       0.20           1.60        0.40     0.60         2.80
555              0.60    0.40          5.80     5.40    11.40   0.80       0.80       2.40  5.80  1.00         6.00            0.80           0.40        2.60       0.80           1.80        0.60     0.40         2.60
560              0.80    1.20          5.20     4.40    12.20   1.00       1.20       1.40  4.00  2.20         5.00            1.60           2.60        2.60       0.60           1.60        0.80     1.20         1.80
565              0.60    0.60          4.80     4.60    10.00   1.40       0.80       1.60  4.00  1.60         5.20            0.60           2.00        1.40       0.20           1.60        0.80     0.60         2.20
570              0.80    0.20          6.20     4.40    10.20   1.00       1.80       1.00  5.40  1.20         6.80            1.60           1.00        2.60       1.00           1.00        0.40     0.20         2.80
575              0.40    1.20          5.60     5.20    13.20   1.20       1.80       1.40  5.20  0.80         5.20            2.00           0.80        2.80       0.80           1.00        0.60     0.80         1.80
580              0.60    0.20          5.60     4.60     9.80   1.20       0.60       1.80  5.80  2.40         6.00            0.60           2.40        1.20       0.20           2.40        0.80     0.60         2.00
585              0.60    0.60          5.60     4.20    10.40   1.40       1.00       1.40  5.20  1.20         4.80            1.00           0.60        2.40       0.40           1.40        0.80     0.80         1.80
590              1.00    0.60          5.60     4.60    12.80   1.20       1.60       1.80  5.20  2.20         5.80            1.40           2.60        2.40       0.60           1.80        0.00     0.00         2.00
595              0.00    0.40          7.40     3.80    12.40   1.60       0.80       2.00  5.80  1.60         5.00            1.20           2.00        2.00       0.60           1.60        0.80     0.80         2.40
600              0.80    0.20          4.60     5.00    11.20   1.20       1.00       2.60  4.60  2.40         6.80            1.00           1.80        2.20       0.80           2.80        0.40     0.40         2.60
605              0.40    1.20          5.40     5.60    10.20   0.80       1.00       0.80  4.80  1.00         6.40            0.60           1.60        2.80       1.00           0.80        0.00     0.40         3.60
610              0.00    0.80          5.40     3.20    11.80   0.80       1.40       2.00  4.40  1.80         4.40            1.40           1.40        3.00       0.80           2.40        1.40     1.00         1.60
