Title: ECSA-2fkQdZD7V7Kvw7VSttuxB3w6KHiO4QeW Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    2fkQdZD7V7Kvw7VSttuxB3w6KHiO4QeW.14B


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
270              3.40    2.80         28.20    21.40    51.00   6.60       5.20       8.20  23.60   7.40        22.40            5.40           7.00        9.60       2.80           7.80        3.20     3.00         8.20
275              3.60    2.20         23.40    21.60    50.20   6.40       7.40       7.20  23.00   8.20        27.20            6.80           7.60        7.60       2.60           8.00        2.20     2.60         9.60
280              3.20    3.00         27.40    24.00    50.60   3.20       7.80       7.40  22.60   7.60        26.60            7.40           7.60       11.40       3.00           7.40        3.80     3.40        11.40
285              2.60    2.80         23.60    21.40    49.80   6.80       4.40       5.60  22.60   6.40        27.40            4.60           7.00       10.00       3.00           6.00        2.20     2.00         9.00
290              3.20    3.20         27.00    21.60    55.80   7.80       6.40       6.40  25.40   5.60        25.20            7.00           5.80       10.00       2.80           6.00        2.60     2.60        10.20
295              2.80    2.20         32.20    19.80    56.20   5.80       6.40       8.60  27.80   7.20        21.60            5.40           6.40        8.00       2.40           8.00        3.00     3.00         8.80
300              2.60    3.20         23.40    19.60    50.00   5.80       5.00      10.00  20.20  10.40        26.40            6.00          10.00       11.20       2.40          10.20        3.20     3.80         8.40
305              2.80    2.20         24.60    24.60    50.60   6.20       5.60       4.80  21.80   6.60        29.60            5.20           7.00        8.40       2.60           5.60        3.60     2.60        12.40
310              3.60    2.40         25.40    22.20    49.00   6.40       6.20       5.80  24.80   5.20        26.40            7.00           5.80       11.40       3.00           5.40        1.80     1.80        11.40
315              2.80    3.60         24.60    21.00    56.20   7.00       7.20       7.00  21.00   6.20        25.40            5.80           5.80       10.60       4.60           6.40        1.40     2.40         8.00
320              1.60    3.00         28.80    20.80    48.80   6.60       6.40       6.20  26.40   6.80        24.40            6.60           7.40       10.60       2.60           5.80        3.60     2.60        10.20
325              3.20    4.20         28.40    20.20    57.20   8.00       4.80       7.60  24.80   6.40        23.40            5.40           5.00        9.20       2.80           7.60        4.60     5.00         8.80
330              2.20    2.20         27.20    22.80    53.20   4.40       6.80       8.60  22.60   8.60        26.40            6.20           8.60        8.60       2.00           8.80        3.40     3.20         8.00
335              5.80    2.20         23.20    25.20    49.80   6.40       6.40       6.40  19.00   8.60        28.60            7.20           8.00        9.00       4.20           7.40        2.00     1.80        12.60
340              1.80    3.20         26.20    22.40    48.80   5.60       7.60       5.20  23.40   5.20        27.80            6.60           7.60       11.00       3.20           5.40        2.40     2.60        11.20
345              2.00    3.00         27.00    23.40    54.60   7.60       4.40       6.20  27.20   5.40        25.20            4.60           5.40       10.60       4.00           6.20        3.00     3.20        10.60
350              3.40    4.00         27.60    20.80    54.60   7.20       5.60       8.20  24.20   6.80        24.80            7.40           5.60       12.00       3.20           6.40        2.80     3.40         9.60
355              3.20    3.00         22.80    19.40    49.60   3.00       7.80       8.20  17.20   8.20        24.00            6.80           8.00        7.40       2.00           8.60        3.80     3.20         7.60
360              2.40    4.00         23.00    24.00    51.40   5.40       5.00       5.20  22.60   7.80        30.40            4.80           8.40       11.00       3.60           7.20        3.20     4.00        12.20
365              4.00    2.60         26.20    26.00    51.80   5.40       7.00       4.80  21.00   4.60        25.60            7.00           4.80       11.00       3.60           4.20        3.80     2.60        10.40
370              3.60    3.00         27.80    21.20    52.00   6.40       6.60       8.40  25.60   6.40        25.20            6.40           5.60        9.20       3.00           7.60        2.20     2.60         8.00
375              3.20    3.60         25.60    21.40    49.80   5.00       5.00       7.00  22.60   8.20        24.00            5.00           8.20        8.00       1.80           8.00        4.00     4.60         9.60
380              2.60    2.00         28.00    19.00    52.60   6.60       5.60       8.80  23.60   7.00        22.60            5.40           6.40       10.00       1.80           8.00        3.40     2.40         9.00
385              2.60    1.80         24.60    20.60    48.20   6.40       5.60       7.20  23.60   7.80        28.00            6.00           8.60        9.20       2.80           7.20        1.60     1.80         8.60
390              3.80    2.00         22.80    22.60    52.00   4.60       7.00       7.40  20.80   7.60        25.00            7.00           7.20        8.80       3.00           7.00        2.00     2.00        11.60
395              2.00    3.40         27.80    22.00    50.20   5.00       4.20       7.20  24.80   7.40        28.40            3.60           7.80       12.00       3.40           7.80        2.60     2.80        12.40
400              1.80    3.40         23.80    18.20    54.20   5.00       3.80       7.00  22.00   7.40        22.40            3.40           7.40       10.20       3.40           6.60        3.20     3.20         9.00
405              3.20    3.40         27.20    21.80    50.40   5.40       5.80       9.20  22.40   7.80        28.40            5.80           6.20       10.80       2.40           9.00        2.80     2.60        10.00
410              3.20    3.00         23.00    21.60    50.80   6.20       4.00       7.00  20.20   8.40        25.60            4.80           8.60       10.40       3.00           7.20        3.60     4.60        13.20
415              3.20    3.40         27.40    24.40    53.20   6.20       7.40       5.20  24.20   5.60        26.60            6.80           7.60       12.00       3.20           5.40        3.20     2.00         9.00
420              3.40    2.80         23.80    19.60    54.20   5.40       6.20       6.60  22.20   7.20        26.00            7.60           6.20       10.00       3.80           7.40        2.80     4.00        10.00
425              1.80    3.40         29.60    24.20    54.80   6.20       5.80       7.40  24.40   6.40        29.20            4.80           7.40       10.60       2.20           6.60        3.60     2.80         9.80
430              4.40    2.80         28.80    24.80    56.40   7.20       7.40       7.80  25.40   7.00        25.60            7.40           6.80        9.20       3.60           7.20        4.00     3.80        10.40
435              3.00    3.60         27.60    22.40    50.60   7.60       5.20       7.40  24.20   7.40        27.80            6.80           8.00       10.20       2.60           7.20        1.40     1.20        10.60
440              3.80    2.20         26.00    22.40    56.60   4.60       7.80       8.00  24.60   8.60        26.20            6.40           6.80       10.40       2.00           9.80        3.00     3.80         9.60
445              1.80    2.20         28.40    21.20    51.20   5.80       4.20       8.40  25.60   8.40        27.00            4.20           8.60        9.40       4.20           6.80        3.60     3.20        11.20
450              3.20    4.40         27.20    22.20    56.20   7.00       5.00       7.40  25.40   6.60        25.80            5.60           5.80       11.80       2.80           7.40        1.40     2.40        10.40
455              2.20    3.20         24.60    19.40    51.80   4.40       5.60       8.40  20.00   9.20        25.60            4.80          10.00        9.20       1.80           9.20        4.20     4.40        10.40
460              2.80    1.60         26.40    24.60    54.00   6.00       3.80       7.80  22.40   7.20        28.40            4.60           7.40       11.60       4.40           7.40        3.60     2.60        11.40
465              3.60    3.20         24.40    21.60    50.00   5.40       7.00       6.60  21.00   7.20        26.60            6.40           6.60       11.20       4.80           6.40        2.60     2.00        12.40
470              3.60    4.20         23.60    24.40    51.20   4.40       5.80       7.20  22.20   7.20        28.60            5.60           7.80       11.40       3.80           6.60        2.80     3.60        10.40
475              2.20    4.60         25.80    21.80    57.20   5.40       5.20       7.00  21.00   7.60        25.80            5.60           8.00       12.00       2.40           8.00        4.20     4.00        10.20
480              3.60    2.20         27.20    24.60    48.40   6.00       4.40       8.20  23.60   6.40        26.40            4.60           6.40        9.80       3.20           7.60        4.00     4.40        11.00
485              4.00    4.20         26.00    23.20    56.40   6.40       7.20       5.00  24.20   7.20        28.20            6.20           8.00       13.20       3.40           6.00        2.60     2.20         9.80
490              3.20    3.20         28.80    23.00    52.20   6.20       6.00       7.60  21.80   7.20        25.40            6.20           6.40        7.60       2.60           6.80        4.00     4.20        10.60
495              4.60    2.60         26.00    23.20    56.60   5.20       7.20       8.20  23.00   6.80        28.00            8.40           7.40       10.60       2.80           8.00        3.60     3.40         9.60
500              3.40    2.60         22.80    23.00    52.00   4.80       7.20       7.40  23.80   7.20        27.40            6.40           7.20        9.80       4.20           7.80        1.80     2.40        10.00
505              2.40    3.00         26.40    25.40    51.40   6.20       6.00       7.20  23.40   7.80        28.60            5.20           7.00        9.80       3.00           7.40        3.40     2.60        12.40
510              2.60    4.80         29.00    20.80    56.60   8.00       5.40       6.00  25.00   6.40        28.00            5.80           7.40       11.60       2.40           6.00        3.20     3.80         9.40
515              2.80    2.00         29.80    20.80    53.40   5.20       4.80       8.60  23.40   8.00        22.40            5.40           6.60       10.80       2.20           7.60        4.20     3.20         8.40
520              3.80    2.20         27.20    22.00    52.00   6.40       8.00       7.40  24.00   7.80        26.60            8.00           8.40        8.00       2.20           8.20        2.80     3.20         9.20
525              3.40    3.20         25.60    24.60    52.80   5.80       6.40       6.40  24.80   7.80        29.80            6.60           6.80        9.40       3.00           6.80        1.80     1.80        12.00
530              2.40    2.20         27.40    22.20    56.00   6.20       6.00       9.40  27.20   6.80        25.20            6.20           6.80       11.20       3.60           9.00        2.40     2.60        10.80
535              2.40    2.40         26.40    18.80    53.40   6.60       6.20       6.20  22.00   8.00        27.40            5.40           8.60       11.20       3.20           6.80        2.40     2.20         9.40
540              2.20    2.60         27.20    24.20    53.20   6.20       6.80       7.00  26.40   7.00        27.20            6.80           7.00        9.20       2.60           7.00        2.80     3.80        11.80
545              3.20    4.40         31.60    23.40    59.20   6.40       5.20       8.60  26.80   7.00        27.20            6.00           7.40       11.60       2.60           7.60        3.40     2.40         9.40
550              3.40    2.40         26.80    21.00    52.00   6.60       6.40       6.60  24.40   7.60        25.20            6.00           7.00        9.60       2.20           7.00        2.40     3.40         9.60
555              2.20    2.80         26.20    19.80    51.80   8.20       5.20       8.20  23.40   8.20        24.00            5.40           7.80       10.40       2.20           8.40        3.80     2.60        10.00
560              3.60    2.20         28.60    25.00    58.20   6.80       5.80       6.60  26.00   8.20        31.20            6.00           9.20       10.20       3.60           6.80        2.40     2.20        11.20
565              2.40    2.80         28.00    21.40    55.80   6.60       7.20       7.60  28.00   5.40        25.20            7.00           5.80       11.00       2.80           7.40        2.00     2.80        10.00
570              3.00    3.20         27.60    18.80    53.20   7.40       7.80       8.60  21.00   8.40        25.00            7.20           7.40        8.60       4.20           7.00        3.20     3.60         9.80
575              2.60    3.20         26.40    27.40    52.80   4.40       4.80       7.20  22.60   8.60        29.20            5.40           9.00       10.80       4.80           9.00        3.20     2.60        14.00
580              3.00    4.80         20.40    25.20    55.20   5.20       6.40       5.00  20.00   5.40        31.80            5.40           6.80       12.60       3.20           5.60        2.80     3.80        11.80
585              2.80    4.00         28.20    21.40    52.60   5.40       5.40       7.20  22.20   8.00        24.80            5.80           6.00       13.60       4.00           7.20        5.00     3.80         9.60
590              4.20    4.00         28.00    26.20    53.80   6.80       7.00       5.80  23.20   5.40        28.80            7.80           7.00        9.40       3.20           5.00        4.60     4.60        10.60
595              3.60    2.60         28.20    25.20    59.80   6.60       9.80       7.00  24.00   5.80        28.00            9.40           5.20       10.40       2.40           7.20        3.20     3.60         8.40
600              4.80    3.20         27.40    25.20    53.40   8.40       8.00       5.40  27.80   6.20        26.00            8.20           6.60        8.00       2.40           5.20        3.20     3.00         8.60
605              2.60    2.60         33.20    21.00    53.60   6.80       6.80       8.00  29.00   7.00        23.60            6.40           5.60        8.40       1.40           6.80        3.20     3.20         7.60
610              3.40    1.60         28.00    19.60    53.20   6.40       6.60       9.20  24.60   8.40        25.20            7.40           8.60        7.60       2.20          10.00        1.80     1.20         8.00
