Title: ECSA-IT1rBcq3hEoNIiljP8cwQqkdl3dhurdh Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    IT1rBcq3hEoNIiljP8cwQqkdl3dhurdh.14Z


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
370              1.00    0.80          9.00     8.00    19.20   2.20       2.40       2.40   9.80   2.80        11.80            2.60           3.20        3.80       0.80           3.00        0.40     0.40         4.40
375              0.60    1.20         11.60     8.20    20.60   2.60       1.00       1.60   9.40   2.00         8.60            1.00           1.80        5.80       1.80           1.80        2.00     2.00         4.00
380              1.80    2.00         13.60    11.20    27.00   3.00       2.40       3.40  11.80   2.60        11.80            2.60           2.00        4.60       1.00           2.60        1.60     1.40         4.00
385              1.60    0.60         10.40     7.80    16.00   2.20       2.60       3.20   8.20   3.60         9.20            2.60           3.80        3.20       0.80           3.80        1.20     1.40         4.20
390              0.40    1.40          6.60     5.80    18.80   1.80       2.20       2.60   7.00   2.40         8.20            1.80           2.40        4.80       0.40           2.40        0.60     0.60         3.40
395              0.80    1.20         11.60     9.40    26.20   2.00       1.80       3.40   8.80   3.40        11.00            2.20           3.40        2.80       1.20           3.60        1.60     1.60         4.20
400              1.40    1.20         10.80     9.00    21.20   4.00       2.80       2.80  12.40   2.80        11.00            2.80           3.40        5.40       1.60           3.00        1.60     1.40         4.20
405              1.00    0.40         13.00     9.40    26.60   3.80       2.80       4.20  11.60   2.60        11.00            2.20           2.00        3.60       1.20           3.40        1.40     1.40         4.40
410              1.60    0.80         13.80     9.80    21.60   1.80       2.80       4.60  10.80   6.00        12.00            3.80           5.60        3.40       1.00           4.60        0.20     0.60         4.40
415              0.80    0.80          8.20     7.60    13.60   2.00       2.40       2.20   7.00   2.20        10.00            1.20           3.20        3.00       0.40           3.00        1.00     0.60         4.20
