Title: ECSA-b1588YfJDrDO54g77DE4xswFOxy4BlPn Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    b1588YfJDrDO54g77DE4xswFOxy4BlPn.19N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
395              1.00    0.60          6.40     5.60    10.40   3.40       1.80       1.40   5.80  0.80         6.60            1.80           1.40        1.60       0.40           1.20        0.60     0.80         2.00
400              1.20    1.20          5.40     5.80    15.00   0.40       2.40       0.60   4.40  1.40         8.80            2.60           1.40        2.80       1.40           1.00        0.60     0.80         3.40
405              1.40    1.40          4.80     7.20    11.80   0.80       1.80       1.80   3.80  1.40         7.00            1.60           0.80        2.80       0.60           1.20        0.80     0.60         2.40
410              0.80    0.80          6.00     4.80    15.00   2.80       1.20       2.00   7.00  1.40         5.40            1.20           1.60        4.00       1.00           2.00        0.40     0.80         2.20
415              0.80    1.60          9.60     5.40    14.60   1.60       1.20       2.40   6.80  2.20         5.80            1.80           1.80        2.20       0.40           1.80        2.40     2.20         1.20
420              1.20    0.40          9.40     8.60    12.60   2.60       2.20       1.00   8.00  2.00         8.00            1.40           2.80        2.00       0.60           2.00        1.20     0.80         3.20
425              0.40    0.60          7.20     5.20    18.40   1.40       1.20       2.80   6.60  1.80         7.00            1.80           1.00        2.40       0.80           1.60        0.60     0.60         2.60
430              1.20    0.80          7.40     7.00    16.40   1.40       2.40       1.40   6.60  2.00         8.00            2.20           2.60        3.60       1.60           2.20        0.60     1.00         2.60
435              2.00    0.60          8.60     8.20    16.40   2.00       3.20       2.80   7.60  2.40         8.40            3.20           2.20        2.20       1.20           2.60        1.00     0.80         3.60
440              0.60    1.60          8.00     6.80    16.60   2.20       2.00       2.40   6.40  2.20         8.20            1.60           2.20        3.80       1.20           2.80        1.20     1.40         3.00
445              0.40    1.40          7.20     7.00    11.60   1.40       1.00       2.40   6.00  2.60         7.60            1.00           2.60        2.00       0.80           2.20        1.20     1.00         3.40
450              0.80    0.60          5.80     4.80    10.80   1.40       1.20       0.80   5.80  1.60         6.80            1.20           2.00        1.60       0.40           1.00        0.20     0.00         1.80
455              0.80    0.40          5.20     5.00    12.60   1.60       1.40       2.00   5.20  1.40         6.00            1.40           1.00        2.80       1.20           1.60        0.20     0.40         3.40
